politician_name,revision_id
M. Anwar Hossain,1226325755
Nozir Hossain,1245378724
Pulin De,1242126632
Ranesh Das Gupta,1242257552
Syed Najmuddin Hashim,1245394398
Abul Kashem,1232782976
Abul Kashem Khan,1245380771
Hatem Ali Khan,1237261567
Husam Uddin Chowdhury Fultali,1247693188
Jyotirindra Bodhipriya Larma,1247242676
Kazi Abdus Shahid Lal,1237261507
Muhammad Hamidullah Khan,1249497016
Shamima Harun Lubna,1245374454
Syed Muhammad Ibrahim,1247089625
Yar Mohammad Khan,1244156514
Fazlul Haque Montu,1243563371
Manik Lal Ray,1117752666
Manjurul Imam,1245961260
Mujahidul Islam Selim,1241208220
Mushrefa Mishu,1066093324
SM Nuruzzaman,1246459927
Shafiul Alam Chowdhury Nadel,1245978368
Shamsul Huda Panchbagi,1232199873
Asheq Ullah Rafiq,1245374666
Devasish Roy,1247376048
Ferdous Ahmed Qureshi,1250961688
Golam Maula Rony,1250725167
Habibar Rahman,1245395381
M. M. Rahmatullah,1242580877
Mahmudul Haque Sayem,1250491967
Maulana Shakhawat,1067136662
Muhammad Bayazeed Khan Panni,1225060231
Abul Kalam Shamsuddin,1246347372
Badruddin Umar,1220769997
Badruddoza Ahmed Shuja,1245376617
Elliott Belgrave,1242611945
Mohammad Sultan,1237264157
Mohammad Toaha,1046006361
Mohammad Zillur Rahman,1245374883
Sourendra Nath Chakraborty,1245374793
Syed Sayedul Haque Suman,1247669907
Zahidunnabi Dewan Shamim,1237263822
Adrian Forde,1079840895
Chad Blackman,1239861059
Cynthia Y. Forde,1200176178
Damien K. A. Griffith,1123730836
Ian Gooding-Edghill,1245455194
Michael A. Carrington,1090468579
Reginald Farley,1223215475
Santia Bradshaw,1225635388
Sonia Browne,1080633319
William Fondleroy Duguid,1149070233
Colin Everett Jordan,1090593974
Crystal Haynes,1219669780
Davidson Ishmael,1123554066
Glyne Murray,1218309623
John Andrew King,1191591712
Kirk Matthew Humphrey,1079886049
Philip St. Hill,1132713774
Samuel Jackman Prescod,1227284229
Shantal Munro-Knight,1248634872
Aliaksandr Azarau,1249779544
Dwight Sutherland,1226875792
Kerrie Symmonds,1226922424
Lyavon Barshchewski,1237691839
Ryan Straughn,1232133512
Shanika Roberts-Odle,1126117422
Siamion Domash,1245495829
Siarhei Cherachen,1177364352
Yury Ambrazevich,1172992483
Zmitser Dashkevich,1244903816
Alaksandar Dubko,1173907794
Gennady Grushevoy,1225610619
Moshe Gutman,1226775102
Tsimafei Dranchuk,1115164729
Aleksandr Potupa,1235204307
Alexander Radkov,1216932338
Ivan Kubrakov,1243510259
Jan Pazniak,1246821242
Pyotr Prakapovich,1228551886
V. L. Mukha,1144551736
Valery Levaneuski,1248009248
Vladimir Kumets,1147914902
Aleksandr Turchin,1245495069
Aliaksandr Shakutsin,1246263655
Dominik Semashko,1214790691
Ihar Rynkevich,1064451133
Mikola Statkevich,1243221482
Nikolai Shelyagovich,1206663730
Sergei Tikhanovsky,1247883595
Valery Sakhashchyk,1250695986
Vladimir Rusakevich,1236837678
Frank Beke,1161024456
Herman Baltia,1231554975
Ivan Yermachenka,1243935880
Manuel Abramowicz,1243531072
Rudy Aernoudt,1241935456
Yury Voskresensky,1173778739
